,Noise_sigma,data_points_number,correct_predicted_percent_pca,correct_predicted_percent_umap
0,0.7,4,0.5,0.565
1,0.7,5,0.5533333333333333,0.6266666666666667
2,0.7,6,0.7700000000000001,0.4066666666666668
3,0.7,7,0.73,0.48
4,0.7,8,0.6775,0.4575
5,0.7,9,0.6639999999999999,0.49199999999999994
6,0.7,10,0.66,0.44199999999999995
7,0.7,11,0.6549999999999998,0.47333333333333344
8,0.7,12,0.6416666666666666,0.4583333333333334
9,0.7,13,0.6142857142857142,0.4885714285714286
10,0.7,14,0.6742857142857143,0.48
11,0.7,15,0.6325,0.4775
12,0.7,16,0.5925,0.4875
13,0.7,17,0.6077777777777778,0.48555555555555563
14,0.7,18,0.5977777777777777,0.45555555555555555
15,0.7,19,0.5939999999999999,0.495
16,0.7,20,0.5760000000000001,0.47600000000000003
17,0.7,21,0.6105263157894736,0.4842105263157893
18,0.7,22,0.6131313131313132,0.48787878787878786
19,0.7,23,0.5910852713178295,0.48546511627906974
20,0.7,24,0.5642570281124498,0.47188755020080336
21,0.7,25,0.6288461538461538,0.5057692307692307
22,0.7,26,0.5546558704453443,0.4797570850202429
23,0.7,27,0.5386100386100385,0.46428571428571425
24,0.7,28,0.5462776659959759,0.49597585513078485
25,0.7,29,0.5931372549019608,0.5147058823529412
26,0.7,30,0.5727272727272726,0.49696969696969706
27,0.7,31,0.5712890625,0.505859375
28,0.7,32,0.5524193548387096,0.5040322580645161
29,0.7,33,0.5470588235294118,0.49411764705882355
30,0.7,34,0.5760649087221095,0.535496957403651
31,0.7,35,0.5584795321637427,0.5038986354775828
32,0.7,36,0.5676767676767678,0.501010101010101
33,0.7,37,0.5448343079922028,0.49610136452241715
34,0.7,38,0.5576923076923076,0.5091093117408907
35,0.7,39,0.5147058823529411,0.49019607843137253
36,0.7,40,0.525,0.49699999999999994
37,0.7,41,0.564484126984127,0.5138888888888888
38,0.7,42,0.5501519756838905,0.5045592705167172
39,0.7,43,0.5563241106719368,0.4871541501976285
40,0.7,44,0.5212121212121212,0.5121212121212122
41,0.7,45,0.5503952569169961,0.5108695652173914
42,0.7,46,0.5581395348837209,0.5055611729019212
43,0.7,47,0.5515873015873015,0.5198412698412699
44,0.7,48,0.4989837398373984,0.4705284552845529
45,0.7,49,0.516,0.4709999999999999
46,0.7,50,0.557,0.5109999999999999
47,0.7,60,0.5404040404040404,0.4818181818181818
48,0.7,70,0.5,0.5183673469387754
49,0.7,80,0.48699999999999993,0.49199999999999994
50,0.7,90,0.4868686868686869,0.49292929292929294
51,0.7,100,0.5290000000000001,0.5280000000000001
52,0.7,150,0.5076923076923077,0.5076923076923078
53,0.7,200,0.5050000000000001,0.518
54,0.7,250,0.506,0.497
