,Noise_sigma,data_points_number,correct_predicted_percent_pca
0,30,4,0.545
1,30,5,0.5333333333333333
2,30,6,0.8266666666666667
3,30,7,0.735
4,30,8,0.6875
5,30,9,0.648
6,30,10,0.7119999999999999
7,30,11,0.6783333333333331
8,30,12,0.6916666666666665
9,30,13,0.6828571428571429
10,30,14,0.7157142857142857
11,30,15,0.6575
12,30,16,0.69875
13,30,17,0.6622222222222223
14,30,18,0.6777777777777777
15,30,19,0.64
16,30,20,0.6360000000000001
17,30,21,0.6209090909090909
18,30,22,0.6563636363636364
19,30,23,0.6433333333333333
20,30,24,0.6091666666666665
21,30,25,0.66
22,30,26,0.616923076923077
23,30,27,0.616923076923077
24,30,28,0.605
25,30,29,0.6206666666666667
26,30,30,0.616
27,30,31,0.626875
28,30,32,0.601875
29,30,33,0.6188235294117647
30,30,34,0.5911764705882352
31,30,35,0.6161111111111112
32,30,36,0.5938888888888889
33,30,37,0.638421052631579
34,30,38,0.5852631578947368
35,30,39,0.6004999999999999
36,30,40,0.6175
37,30,41,0.6195238095238094
38,30,42,0.5857142857142856
39,30,43,0.6122727272727272
40,30,44,0.615909090909091
41,30,45,0.6100000000000001
42,30,46,0.5869565217391305
43,30,47,0.5929166666666668
44,30,48,0.5979166666666668
45,30,49,0.5979166666666668
46,30,50,0.5968
47,30,60,0.5746666666666667
48,30,70,0.5848571428571429
49,30,80,0.57025
50,30,90,0.5671111111111111
51,30,100,0.5650000000000001
52,30,150,0.5551666666666668
53,30,200,0.5495000000000001
54,30,250,0.544
